USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      7536  0.0  0.0      0     0 ?        S    18:23   0:01  \_ [kworker/3:0]
root      7605  0.0  0.0      0     0 ?        S    18:26   0:01  \_ [kworker/6:1]
root      7976  0.0  0.0      0     0 ?        S    18:36   0:00  \_ [kworker/4:0]
root      8166  0.0  0.0      0     0 ?        S    18:44   0:01  \_ [kworker/2:0]
root      8624  0.0  0.0      0     0 ?        S    19:02   0:00  \_ [kworker/7:2]
root      8672  0.0  0.0      0     0 ?        S    19:05   0:00  \_ [kworker/2:1]
root      8689  0.0  0.0      0     0 ?        S    19:06   0:01  \_ [kworker/0:2]
root      8937  0.0  0.0      0     0 ?        S    19:20   0:00  \_ [kworker/6:0]
root      8981  0.0  0.0      0     0 ?        S    19:20   0:00  \_ [kworker/1:0]
root      9264  0.0  0.0      0     0 ?        S    19:23   0:00  \_ [kworker/0:1]
root      9275  0.0  0.0      0     0 ?        S    19:24   0:00  \_ [kworker/3:2]
root      9297  0.0  0.0      0     0 ?        S    19:25   0:00  \_ [kworker/4:1]
root     10512  0.0  0.0      0     0 ?        S    19:41   0:00  \_ [kworker/u16:2]
root     10800  0.0  0.0      0     0 ?        S    19:51   0:00  \_ [kworker/6:2]
root     10824  0.0  0.0      0     0 ?        S    19:51   0:00  \_ [kworker/u16:0]
root     10898  0.0  0.0      0     0 ?        S    19:53   0:00  \_ [kworker/0:0]
root         1  0.0  0.0  34020  4504 ?        Ss   Feb06   0:01 /sbin/init
root       573  0.0  0.0  19876  2276 ?        S    Feb06   0:00 upstart-udev-bridge --daemon
root       588  0.0  0.0  52540  3796 ?        Ss   Feb06   0:00 /lib/systemd/systemd-udevd --daemon
root      1042  0.0  0.0  15396  1884 ?        S    Feb06   0:00 upstart-socket-bridge --daemon
message+  1127  0.0  0.0  40644  3924 ?        Ss   Feb06   0:26 dbus-daemon --system --fork
syslog    1142  0.0  0.0 255848  3940 ?        Ssl  Feb06   0:00 rsyslogd
root      1155  0.0  0.0 330244  5748 ?        Ssl  Feb06   0:00 /usr/sbin/ModemManager
root      1165  0.0  0.0  19300  2032 ?        Ss   Feb06   0:00 /usr/sbin/bluetoothd
root      1173  0.0  0.0  35300  2992 ?        Ss   Feb06   0:00 /lib/systemd/systemd-logind
root      1215  0.0  0.0  15412  1796 ?        S    Feb06   0:00 upstart-file-bridge --daemon
avahi     1231  0.0  0.0  33496  3752 ?        S    Feb06   0:03 avahi-daemon: running [cc.local]
avahi     1233  0.0  0.0  32228   256 ?        S    Feb06   0:00  \_ avahi-daemon: chroot helper
root      1286  0.0  0.0 345216  9588 ?        Ssl  Feb06   0:01 NetworkManager
root      2239  0.0  0.0   8348  4984 ?        S    Feb06   0:00  \_ /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-7d6276f9-ad2a-4392-b593-7f2be7d84f61-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
nobody    2529  0.0  0.0  27220  2428 ?        S    Feb06   0:01  \_ /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1299  0.0  0.0 288540  7576 ?        Sl   Feb06   0:03 /usr/lib/policykit-1/polkitd --no-debug
root      1349  0.0  0.0  20020  1952 tty4     Ss+  Feb06   0:00 /sbin/getty -8 38400 tty4
root      1353  0.0  0.0  20020  1952 tty5     Ss+  Feb06   0:00 /sbin/getty -8 38400 tty5
root      1360  0.0  0.0  20020  1864 tty2     Ss+  Feb06   0:00 /sbin/getty -8 38400 tty2
root      1361  0.0  0.0  20020  1984 tty3     Ss+  Feb06   0:00 /sbin/getty -8 38400 tty3
root      1364  0.0  0.0   4448   772 ?        S<s  Feb06   0:00 /bin/sh -e /proc/self/fd/9
root      1407  0.0  0.0   4448   688 ?        S<   Feb06   0:00  \_ /bin/sh /usr/sbin/start_pms
root      2306  0.0  0.3 576864 123616 ?       S<l  Feb06   1:01      \_ ./Plex Media Server
root      2320  0.0  0.1 1857020 57016 ?       SNl  Feb06   2:08          \_ Plex Plug-in [com.plexapp.system] /usr/lib/plexmediaserver/Resources/Plug-ins-f38ac80/Framework.bundle/Contents/Resources/Versions/2/Python/bootstrap.pyc --server-version 0.9.12.19.1537-f38ac80 /usr/lib/plexmediaserver/Resources/Plug-ins-f38ac80/System.bundle
root      2368  0.0  0.2 426316 87672 ?        S<l  Feb06   0:43          \_ /usr/lib/plexmediaserver/Plex DLNA Server
root      1365  0.0  0.0  20020  1948 tty6     Ss+  Feb06   0:00 /sbin/getty -8 38400 tty6
root      1422  0.0  0.0  61376  5336 ?        Ss   Feb06   0:00 /usr/sbin/sshd -D
root     10307  0.0  0.0 106300  6804 ?        Ss   19:40   0:00  \_ sshd: m [priv]      
m        10351  0.0  0.0 106300  3328 ?        S    19:41   0:00      \_ sshd: m@pts/36      
m        10352  0.0  0.0  20160  6556 pts/36   Ss   19:41   0:00          \_ -bash
m        10480  0.0  0.0  31340  2832 pts/36   S+   19:41   0:00              \_ screen -rD
root      1425  0.0  0.0  19196  2164 ?        Ss   Feb06   0:05 /usr/sbin/irqbalance
root      1431  0.0  0.0  23660  2280 ?        Ss   Feb06   0:00 cron
whoopsie  1496  0.0  0.0 435496  9612 ?        Ssl  Feb06   0:00 whoopsie
root      1511  0.0  0.0  75724  6804 ?        Ss   Feb06   0:00 /usr/sbin/cups-browsed
kernoops  1535  0.0  0.0  37148  2488 ?        Ss   Feb06   0:01 /usr/sbin/kerneloops
root      1581  0.0  0.0   4372  1632 ?        Ss   Feb06   0:03 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1598  0.0  0.0 269672  7692 ?        SLsl Feb06   0:00 lightdm
root      1609  2.1  0.4 683804 140536 tty7    Ssl+ Feb06  69:26  \_ /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1956  0.0  0.0 170800  7160 ?        Sl   Feb06   0:00  \_ lightdm --session-child 12 19
m         2827  0.0  0.0  32324  3288 ?        Ss   Feb06   0:01      \_ init --user
